time,x,y,z
1751976383.093,-398.108,435.494,255.023
1751976383.134,-398.093,435.482,255.018
1751976383.173,-398.110,435.494,255.050
1751976383.213,-398.104,435.477,255.022
1751976383.259,-398.116,435.478,255.011
1751976383.300,-398.114,435.489,255.023
1751976383.337,-398.145,435.461,255.053
1751976383.381,-398.108,435.488,255.036
1751976383.423,-398.123,435.469,255.018
1751976383.463,-398.094,435.487,255.021
1751976383.497,-398.089,435.487,255.035
1751976383.539,-398.078,435.491,255.000
1751976383.603,-398.068,435.485,255.007
1751976383.654,-398.123,435.473,255.037
1751976383.690,-398.101,435.492,255.018
1751976383.738,-398.108,435.473,255.013
1751976383.789,-398.131,435.468,255.037
1751976383.843,-398.144,435.471,255.045
1751976383.888,-398.119,435.485,255.031
1751976383.933,-398.105,435.494,255.042
1751976383.969,-398.132,435.474,255.066
1751976384.001,-398.098,435.493,255.029
1751976384.047,-398.088,435.487,255.020
1751976384.091,-398.092,435.493,255.007
1751976384.146,-398.100,435.492,255.006
1751976384.187,-398.102,435.478,255.028
1751976384.242,-398.096,435.483,255.048
1751976384.295,-398.086,435.497,255.016
1751976384.343,-398.125,435.463,255.024
1751976384.382,-398.100,435.493,255.033
1751976384.439,-398.107,435.480,255.015
1751976384.492,-398.100,435.489,255.062
1751976384.549,-398.098,435.472,255.023
1751976384.593,-398.127,435.470,255.021
1751976384.641,-398.125,435.470,255.056
1751976384.691,-398.113,435.500,255.051
1751976384.738,-398.119,435.479,255.060
